8	8
13	8122
14	14
32789	28614
22	22
39	7372
41	41
54	6148
55	577
66	66
70	3865
81	81
82	16439
83	83
84	84
85	11313
88	109
89	89
90	136
91	189
92	35349
93	93
94	12542
95	95
98	2113
99	1429
100	100
101	101
102	89
104	3374
106	5703
107	89
109	514
110	109
112	112
113	100
114	116
115	89
116	116
117	777
119	430
121	121
122	122
125	125
127	127
128	128
130	130
131	112
132	132
136	777
141	31849
32909	32909
145	595
32915	17141
148	516
149	149
150	150
152	777
153	109
154	3644
155	23403
156	22986
157	5059
158	141
159	777
177	6045
189	13023
195	195
206	206
213	4247
32981	10477
33001	12317
33006	33006
241	4590
243	3059
245	245
33030	13234
262	15029
266	1564
33037	36755
33039	26992
272	4244
279	14373
285	7120
286	286
293	293
309	7082
312	25276
314	12975
316	30653
319	8658
357	4298
359	1449
363	525
376	379
379	10506
380	4244
381	11124
386	8970
388	388
389	12575
392	392
397	20072
398	398
400	20411
401	401
403	26815
406	406
408	408
409	11389
411	411
413	413
418	418
422	422
424	1491
425	1212
426	426
428	10885
431	9837
432	432
430	119
434	19768
435	15924
436	16739
437	20662
439	10380
440	8113
442	119
448	309
449	449
450	450
451	451
468	468
470	470
475	1492
476	1945
477	5401
479	479
482	1564
483	11445
485	195
486	6087
487	487
488	10506
490	490
492	8903
493	16360
494	494
495	3166
497	497
498	502
499	7262
501	501
502	1711
505	24892
506	12466
508	1992
509	509
512	512
514	3084
516	516
517	512
518	518
520	514
521	1589
522	522
524	524
525	19806
526	1448
527	7664
528	959
529	20917
523	8409
533	527
535	2258
538	1429
540	523
541	517
542	8409
546	595
547	574
551	2078
553	553
555	3364
570	89
571	571
573	104
574	574
576	8088
577	107
582	582
583	11313
33352	31998
581	581
579	579
33356	16380
589	6657
588	16739
591	121
592	592
593	593
594	431
595	595
597	597
598	802
602	20775
604	1996
605	576
607	16814
608	159
33377	33377
609	145
611	502
614	3643
33383	19473
33385	36119
621	621
623	20406
638	2998
639	639
641	641
649	7686
33423	33423
33424	31256
667	13073
675	675
33446	33446
681	681
695	1086
705	7665
711	2872
713	18959
719	2740
721	3095
722	12557
727	8938
729	729
737	737
739	6688
773	773
774	774
777	104
778	32697
779	594
781	781
784	22282
785	107
788	38009
792	16175
793	2696
798	798
800	12829
802	23877
803	12797
806	806
809	26417
815	815
817	15567
818	27812
824	824
829	11264
830	792
831	22677
832	36248
833	34611
848	848
852	852
857	857
861	13032
863	863
866	866
867	867
869	869
868	3531
871	873
872	901
873	872
876	876
877	266
878	1379
881	26569
33660	14253
894	12750
895	6431
896	896
897	5049
901	272
902	902
909	7372
910	8505
913	15948
33689	33835
922	897
933	3014
33702	23806
33710	15770
33712	33702
959	959
33728	27476
961	521
964	4273
33735	42244
33736	35133
33755	11040
993	22374
1018	1018
33794	34857
1028	1028
1031	16753
1032	14369
1033	16755
1040	9090
33810	13014
1044	1044
33835	33835
33841	33843
33843	40078
1079	1079
1081	1081
1083	487
1085	1085
1086	1106
33849	25157
1088	7513
1087	1093
1093	1086
1096	1619
33865	21278
1102	1102
1103	1103
1104	4855
1106	1106
33875	27125
1108	1103
33876	33947
1110	9412
1112	1112
1135	17544
1142	5089
1149	666
33921	31849
33922	6937
1155	2387
1154	1154
1172	10559
33947	9451
1180	1180
1187	959
1188	2258
1192	1192
1193	1193
33961	24155
1199	1199
1200	1200
33969	5135
33971	37696
1203	1203
1205	1205
